StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
2,NSW,Banks,103,1,Allawah,Current,P J Ferry Reserve Hall,cnr Bellevue Pde & Blakesley Rd,,,CARLTON,NSW,2218,31,,,Blakesley Rd Bellevue Pde,-33.9767897,151.1148974,1361509,Assisted,1608,160,4,2
2,NSW,Banks,103,1,Allawah South,Current,St Raphael's Catholic Church Hall,84 George St, ,,SOUTH HURSTVILLE,NSW,2221,67,,,Russell La George St,-33.9756,151.111,1361510,None,1275,84,3,1
2,NSW,Banks,103,1,Beverly Hills North (Banks),Current,Beverly Hills North Public School,cnr Shorter Ave & King Georges Rd,,,BEVERLY HILLS,NSW,2209,56500,,,Entrance:Shorter Ave,-33.9413,151.075,1350302,None,532,0,2,0
2,NSW,Banks,103,1,Beverly Hills South,Current,Beverly Hills Public School,cnr Stoney Creek & King Georges Rds, ,,BEVERLY HILLS,NSW,2209,2646,,,King Georges Rd,-33.9528,151.085,1360804,Assisted,1618,151,4,2
2,NSW,Banks,103,1,Blakehurst,Abolition,,,,,,,,36,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Blakehurst North,Current,Blakehurst High School,270A Woniora Rd, ,,BLAKEHURST,NSW,2221,46,,,Woniora Rd,-33.9814,151.113,1361602,Assisted,1002,120,3,2
2,NSW,Banks,103,1,Blakehurst South,Current,Bald Face Public School,84 Stuart St, ,,BLAKEHURST,NSW,2221,33,,,Stuart St,-33.996455,151.1066889,1361404,Assisted,1866,110,4,1
2,NSW,Banks,103,1,Carlton South (Banks),Current,Carlton South Public School,Jubilee Avenue, ,,CARLTON,NSW,2218,56472,,Jubilee Ave & Ecole St,"School gate in Jubilee Avenue, Carlton School gate in Ecole Street, Carlton",-33.9727,151.128,1361703,Assisted,504,0,2,0
2,NSW,Banks,103,1,Carlton West,Appointment,St Cuthbert's Anglican Church Hall,34 Park Rd, ,,CARLTON,NSW,2218,65,,,Park Rd,-33.9763447,151.1206652,1361704,Assisted,1560,384,4,4
2,NSW,Banks,103,1,Carlton West (Banks),Abolition,St Cuthbert's Anglican Church Hall,34 Park Rd, ,,CARLTON,NSW,2218,65,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Connells Point,Current,Connells Point Public School,Riverview Ave, ,,CONNELLS POINT,NSW,2221,42,,,Riverview Ave,-33.9855,151.1,1361410,Assisted,2913,203,6,2
2,NSW,Banks,103,1,Hurstville,Current,Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,2663,,,Queens Rd,-33.9642,151.102,1360709,Full,2442,261,6,3
2,NSW,Banks,103,1,Hurstville Central,Abolition,,,,,,,,44,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Hurstville East,Current,Hurstville Public School,Forest Rd, ,,HURSTVILLE,NSW,2220,2664,,,Forest Rd Orange St,-33.9641,151.111,1360704,None,2274,377,6,4
2,NSW,Banks,103,1,Hurstville Grove,Current,St Aidan's Anglican Church Hall,119 Lansdowne St, ,,HURSTVILLE GROVE,NSW,2220,45,,,Hillcrest Ave,-33.9744,151.092,1361207,None,2517,169,6,2
2,NSW,Banks,103,1,Hurstville North,Current,Kingsway Scout Hall,Barnards Ave,,,HURSTVILLE,NSW,2220,2665,,,Barnards Ave,-33.9544,151.096,1360605,None,2363,217,5,2
2,NSW,Banks,103,1,Hurstville South,Appointment,Hurstville South Public School,Maher St, ,,HURSTVILLE,NSW,2220,43,,,Maher St,-33.9726,151.099,1361214,Assisted,1032,74,3,1
2,NSW,Banks,103,1,Lugarno,Current,Lugarno Public School,Old Forest Rd,,,LUGARNO,NSW,2210,4,,,Old Forest Rd,-33.985015,151.0454806,1361106,Assisted,3109,192,7,2
2,NSW,Banks,103,1,Mortdale Central,Current,Mortdale Pensioners Welfare Club,76 Pitt St,,,MORTDALE,NSW,2223,55,,,Pitt St,-33.9729046,151.0773353,1360910,Full,1970,140,4,2
2,NSW,Banks,103,1,Mortdale East,Current,Mortdale Public School,Coleborne Ave, ,,MORTDALE,NSW,2223,56,,,Coleborne Ave,-33.9727,151.081,1361302,Assisted,1593,150,4,2
2,NSW,Banks,103,1,Mortdale Heights,Current,Mortdale Girl Guides Hall,Beatty St,,,MORTDALE,NSW,2223,57,,,Beatty St,-33.9705,151.067,1361001,Assisted,1169,66,3,1
2,NSW,Banks,103,1,Mortdale West,Current,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223,5,,,Scott St,-33.9615619,151.0731878,1360305,None,2312,198,5,2
